entry_time,exit_time,instrument,underlier,expiry,strike,option_type,entry_price,exit_price,quantity,gross_pnl,net_pnl,transaction_costs,holding_period_seconds
2022-11-01T09:15:00,2022-11-01T09:48:41,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,69.65,84.0,1,14.35,-25.65,40.0,2021.0
2022-11-01T09:15:00,2022-11-01T09:48:41,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,107.1,99.45,1,-7.65,-47.65,40.0,2021.0
2022-11-01T09:48:41,2022-11-01T09:56:35,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,60.6,61.55,1,0.95,-39.05,40.0,474.0
2022-11-01T09:48:41,2022-11-01T09:56:35,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,127.0,127.35,1,0.35,-39.65,40.0,474.0
2022-11-01T09:56:35,2022-11-01T09:56:36,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,85.05,85.7,1,0.65,-39.35,40.0,1.0
2022-11-01T09:56:35,2022-11-01T09:56:36,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,100.8,100.25,1,-0.55,-40.55,40.0,1.0
2022-11-01T09:56:36,2022-11-01T12:16:01,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,62.0,59.1,1,-2.9,-42.9,40.0,8365.0
2022-11-01T09:56:36,2022-11-01T12:16:01,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,127.0,130.2,1,3.2,-36.8,40.0,8365.0
2022-11-01T12:16:01,2022-11-01T12:16:15,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,81.4,82.15,1,0.75,-39.25,40.0,14.0
2022-11-01T12:16:01,2022-11-01T12:16:15,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.45,102.1,1,-0.35,-40.35,40.0,14.0
2022-11-01T12:16:15,2022-11-01T12:16:17,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,59.65,59.85,1,0.2,-39.8,40.0,2.0
2022-11-01T12:16:15,2022-11-01T12:16:17,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,129.9,129.15,1,-0.75,-40.75,40.0,2.0
2022-11-01T12:16:17,2022-11-01T12:16:18,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,82.3,82.4,1,0.1,-39.9,40.0,1.0
2022-11-01T12:16:17,2022-11-01T12:16:18,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,101.8,102.05,1,0.25,-39.75,40.0,1.0
2022-11-01T12:16:18,2022-11-01T12:33:43,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,60.0,62.4,1,2.4,-37.6,40.0,1045.0
2022-11-01T12:16:18,2022-11-01T12:33:43,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,129.35,131.45,1,2.1,-37.9,40.0,1045.0
2022-11-01T12:33:43,2022-11-01T12:33:44,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,84.9,85.55,1,0.65,-39.35,40.0,1.0
2022-11-01T12:33:43,2022-11-01T12:33:44,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.6,103.55,1,-0.05,-40.05,40.0,1.0
2022-11-01T12:33:44,2022-11-01T12:34:29,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,62.95,62.35,1,-0.6,-40.6,40.0,45.0
2022-11-01T12:33:44,2022-11-01T12:34:29,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.15,131.9,1,0.75,-39.25,40.0,45.0
2022-11-01T12:34:29,2022-11-01T12:34:37,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,84.7,85.65,1,0.95,-39.05,40.0,8.0
2022-11-01T12:34:29,2022-11-01T12:34:37,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,104.35,103.4,1,-0.95,-40.95,40.0,8.0
2022-11-01T12:34:37,2022-11-01T12:34:55,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,62.85,62.3,1,-0.55,-40.55,40.0,18.0
2022-11-01T12:34:37,2022-11-01T12:34:55,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.85,131.9,1,1.05,-38.95,40.0,18.0
2022-11-01T12:34:55,2022-11-01T12:37:59,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,85.0,84.15,1,-0.85,-40.85,40.0,184.0
2022-11-01T12:34:55,2022-11-01T12:37:59,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,104.5,104.1,1,-0.4,-40.4,40.0,184.0
2022-11-01T12:37:59,2022-11-01T12:38:00,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,61.9,61.65,1,-0.25,-40.25,40.0,1.0
2022-11-01T12:37:59,2022-11-01T12:38:00,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.65,131.5,1,-0.15,-40.15,40.0,1.0
2022-11-01T12:38:00,2022-11-01T12:38:01,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,84.0,84.05,1,0.05,-39.95,40.0,1.0
2022-11-01T12:38:00,2022-11-01T12:38:01,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,104.05,104.4,1,0.35,-39.65,40.0,1.0
2022-11-01T12:38:01,2022-11-01T12:38:04,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,61.55,62.0,1,0.45,-39.55,40.0,3.0
2022-11-01T12:38:01,2022-11-01T12:38:04,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.65,130.9,1,-0.75,-40.75,40.0,3.0
2022-11-01T12:38:04,2022-11-01T12:38:07,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,84.5,84.9,1,0.4,-39.6,40.0,3.0
